tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Academic Services,1754,Brigham Young University - Idaho,Jeffrey (Jeff),,Dunn,2661318,3,good,TEACHER,PROFESSOR,4.0
English,1754,Brigham Young University - Idaho,Claire,,Dunn,2916325,21,good,TEACHER,PROFESSOR,4.9
Business,1754,Brigham Young University - Idaho,Kelly,,Dunn-Young,2505284,10,good,TEACHER,PROFESSOR,4.4
Health Science,1754,Brigham Young University - Idaho,Lorna,,DunnCrabb,2683626,3,good,TEACHER,PROFESSOR,3.7
Home & Family Studies,1754,Brigham Young University - Idaho,Devin,,DuPree,2758924,8,good,TEACHER,PROFESSOR,4.2
Religion,1754,Brigham Young University - Idaho,Kevin,,Dupree,2996061,2,good,TEACHER,PROFESSOR,5.0
Education,1754,Brigham Young University - Idaho,Lary,,Duque,627984,139,average,TEACHER,PROFESSOR,2.7
Art,1754,Brigham Young University - Idaho,Sharon,,Duque,1845210,48,good,TEACHER,PROFESSOR,4.6
Psychology,1754,Brigham Young University - Idaho,Kyle,,Duran,2126829,1,good,TEACHER,PROFESSOR,5.0
Accounting,1754,Brigham Young University - Idaho,Darren,K,Durbin,2426768,4,good,TEACHER,PROFESSOR,4.2
English,1754,Brigham Young University - Idaho,Anna,,Durfee,2646929,10,good,TEACHER,PROFESSOR,3.8
Home & Family Studies,1754,Brigham Young University - Idaho,Rosemary,,Durfee,2922493,1,good,TEACHER,PROFESSOR,5.0
Religion,1754,Brigham Young University - Idaho,Dwight,,Durrant,1885425,5,good,TEACHER,PROFESSOR,4.4
General Studies,1754,Brigham Young University - Idaho,Lynn,,Durtschi,1734761,6,good,TEACHER,PROFESSOR,4.5
Select department,1754,Brigham Young University - Idaho,Lynn,,Durtschi,2038318,3,good,TEACHER,PROFESSOR,4.8
Mechanical Engineering,1754,Brigham Young University - Idaho,Shelby,,Dushku,1996297,4,average,TEACHER,PROFESSOR,3.0
Recreation,1754,Brigham Young University - Idaho,Tyler ,,Dustin,3041218,0,zero,TEACHER,PROFESSOR,N/A
Mechanical Engineering,1754,Brigham Young University - Idaho,Alan,,Dutson,1124647,11,good,TEACHER,PROFESSOR,4.8
Health Science,1754,Brigham Young University - Idaho,Michele,,Dutton,2222642,1,good,TEACHER,PROFESSOR,4.0
Health Science,1754,Brigham Young University - Idaho,Michelle,,Dutton,2237752,1,good,TEACHER,PROFESSOR,5.0
Health Science,1754,Brigham Young University - Idaho,Jenna,,Dyckman,2447405,15,average,TEACHER,PROFESSOR,3.1
Health Science,1754,Brigham Young University - Idaho,Paul,,Dye,1117111,4,average,TEACHER,PROFESSOR,3.4
Automotive Technology,1754,Brigham Young University - Idaho,Richard,,Dye,1197064,7,good,TEACHER,PROFESSOR,3.6
International Studies,1754,Brigham Young University - Idaho,Nicholas,,Dyerly,2443231,11,good,TEACHER,PROFESSOR,3.8
Mathematics,1754,Brigham Young University - Idaho,Tina,,Eagar,2862824,1,good,TEACHER,PROFESSOR,5.0
Business,1754,Brigham Young University - Idaho,Drew,,Eagar,1264986,46,good,TEACHER,PROFESSOR,3.9
Child & Family Studies,1754,Brigham Young University - Idaho,Kimberly,,Eagar,1698785,31,good,TEACHER,PROFESSOR,4.4
Business,1754,Brigham Young University - Idaho,Jason,,Earl,1123795,36,good,TEACHER,PROFESSOR,4.8
Communication,1754,Brigham Young University - Idaho,Rusty,,Earl,2954130,1,good,TEACHER,PROFESSOR,5.0
Religion,1754,Brigham Young University - Idaho,Suzanne,R,Earnshaw,1783071,15,average,TEACHER,PROFESSOR,3.1
Business,1754,Brigham Young University - Idaho,Dorian,N.,Eaton,2202331,3,poor,TEACHER,PROFESSOR,2.0
Religion,1754,Brigham Young University - Idaho,Robert,,Eaton,2747674,2,good,TEACHER,PROFESSOR,4.0
Religion,1754,Brigham Young University - Idaho,Rob,,Eaton,503534,87,good,TEACHER,PROFESSOR,4.6
Business,1754,Brigham Young University - Idaho,Jared,,Eberhard,2628053,26,good,TEACHER,PROFESSOR,4.8
